Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,90.160004,90.800003,86.320000,86.639999,86.363647,9914688
2020-12-15,87.599998,89.199997,85.199997,88.879997,88.596504,10826738
2020-12-16,89.040001,89.199997,87.199997,87.440002,87.161102,7351975
2020-12-17,87.519997,87.919998,86.400002,87.040001,86.762375,7805750
2020-12-18,86.239998,88.959999,85.919998,86.480003,86.283463,14344200
2020-12-21,83.760002,86.959999,82.879997,86.160004,85.964195,10727338
2020-12-22,85.680000,86.080002,83.919998,84.879997,84.687103,11125938
2020-12-23,85.440002,87.839996,84.959999,86.879997,86.682556,7563063
2020-12-24,86.800003,86.800003,84.959999,85.199997,85.006371,3756213
2020-12-28,85.599998,86.239998,84.639999,85.120003,84.926559,6724588
2020-12-29,85.279999,86.160004,84.320000,84.480003,84.288010,6629488
2020-12-30,84.639999,86.800003,84.400002,85.680000,85.485283,6327625
2020-12-31,85.199997,86.639999,84.639999,86.400002,86.203644,5962788
2021-01-04,87.120003,87.199997,83.199997,83.760002,83.569649,9993688
2021-01-05,83.440002,87.040001,83.360001,86.160004,85.964195,10462538
2021-01-06,86.639999,92.959999,86.639999,90.879997,90.673462,16448075
2021-01-07,92.480003,92.559998,89.919998,90.160004,89.955109,9411225
2021-01-08,90.320000,91.519997,89.279999,90.720001,90.513832,9089963
2021-01-11,88.879997,92.239998,88.480003,91.599998,91.391830,8406700
2021-01-12,92.080002,95.279999,91.279999,94.239998,94.025826,11429913
2021-01-13,94.239998,94.559998,92.160004,92.559998,92.349640,6714200
2021-01-14,92.879997,93.839996,92.639999,93.279999,93.068008,7401188
2021-01-15,92.800003,92.800003,90.000000,90.639999,90.434006,9201188
2021-01-19,91.839996,93.199997,91.199997,91.440002,91.232193,7937425
2021-01-20,92.000000,92.000000,90.400002,91.120003,90.912926,7376988
2021-01-21,91.199997,91.440002,88.559998,88.559998,88.358727,8200338
2021-01-22,87.760002,89.440002,87.199997,88.879997,88.678009,6614925
2021-01-25,89.120003,89.199997,86.160004,87.919998,87.720184,11502613
2021-01-26,96.239998,97.839996,89.599998,90.320000,90.114731,26475425
2021-01-27,88.639999,92.480003,85.120003,91.040001,90.833107,18679988
2021-01-28,91.279999,91.760002,88.559998,88.720001,88.518372,11762413
2021-01-29,88.000000,89.919998,85.360001,85.440002,85.245834,13657350
2021-02-01,86.879997,88.000000,85.120003,85.919998,85.724731,8335725
2021-02-02,87.040001,90.800003,86.720001,89.919998,89.715645,10558238
2021-02-03,89.919998,90.400002,88.559998,89.599998,89.396378,6776850
2021-02-04,89.839996,92.000000,89.519997,91.599998,91.391830,8345975
2021-02-05,92.080002,92.400002,90.559998,91.199997,90.992737,6477300
2021-02-08,91.760002,93.199997,91.279999,92.879997,92.668915,5306813
2021-02-09,92.480003,92.800003,91.279999,92.320000,92.110191,6592288
2021-02-10,92.720001,92.720001,91.040001,91.199997,90.992737,5694988
2021-02-11,91.120003,91.760002,89.519997,91.680000,91.471649,6478650
2021-02-12,91.279999,93.919998,91.040001,93.839996,93.626732,7304963
2021-02-16,94.559998,95.839996,94.239998,95.760002,95.542381,7539000
2021-02-17,94.720001,95.599998,94.080002,94.879997,94.664368,5367513
2021-02-18,94.720001,94.879997,92.080002,93.040001,92.828560,6106825
2021-02-19,93.760002,96.239998,93.440002,96.160004,95.941467,7631125
2021-02-22,96.559998,101.599998,96.239998,100.000000,99.772736,12079538
2021-02-23,100.800003,101.199997,97.440002,100.720001,100.491104,9005313
2021-02-24,102.400002,106.800003,101.199997,104.959999,104.721458,13348875
2021-02-25,104.800003,106.160004,101.279999,102.080002,101.848015,11542163
2021-02-26,101.440002,102.720001,99.279999,100.320000,100.092010,11091225
2021-03-01,103.360001,106.320000,102.320000,104.879997,104.641640,9754700
2021-03-02,105.199997,106.000000,103.760002,103.839996,103.604012,9650675
2021-03-03,104.720001,108.959999,104.400002,107.519997,107.275642,14696538
2021-03-04,111.040001,113.040001,105.440002,108.559998,108.313286,20820213
2021-03-05,110.400002,110.480003,105.120003,108.800003,108.632790,13121938
2021-03-08,113.680000,114.720001,110.480003,113.360001,113.185783,17964700
2021-03-09,112.800003,115.360001,110.639999,112.000000,111.827873,14308463
2021-03-10,109.199997,109.919998,103.360001,106.000000,105.837097,27528800
2021-03-11,101.519997,102.879997,95.599998,98.160004,98.009148,38225663
2021-03-12,97.919998,100.959999,97.839996,100.639999,100.485329,16818988
2021-03-15,101.919998,106.879997,101.839996,106.800003,106.635864,13925313
2021-03-16,106.639999,106.800003,104.559998,105.199997,105.038322,9307025
2021-03-17,105.599998,108.879997,105.040001,108.879997,108.712662,9903388
